Date,AMZN,ARCH,BA,BAX,CELH,CL,FMS,GD,GSK,IAU,LMT,LVMUY,MDR,MINT,MRK,MU,NGG,NLY,NOC,PANW,PXD,RTN,SHY,SNAP,TLT,TSLA,UUP,VIXY,VZ,WDC,XOM,Portfolio Value
2019-05-30,14530.56,24994.83,24197.600000000002,21303.36,9785.7,14910.0,12918.499999999998,1443.6000000000001,41895.280000000006,83449.44,1689.1,12031.7,1052.64,148216.94999999998,44583.21,1332.8,11160.6,3540.5499999999997,23668.26,28806.300000000003,1295.3700000000001,14843.55,207890.09999999998,1199.0,54714.50000000001,752.88,13056.42,3603.0,41578.02,1392.1200000000001,17700.48,883536.42
2019-05-31,14200.56,25144.07,23626.399999999998,21035.52,9432.0,14650.14,12743.499999999998,1431.09,41784.68,84667.68,1683.0,11927.42,1038.88,148246.49000000002,44322.39,1304.4,11463.84,3490.27,23266.320000000003,28219.739999999998,1273.23,14680.35,208338.30000000002,1189.0,55398.75,740.64,13002.08,3760.5,39762.81,1312.92,17405.64,880542.6100000001
2019-06-03,13541.52,24960.39,23438.1,21185.28,9314.1,14875.92,12901.0,1451.79,42216.020000000004,85818.24,1713.0,11987.460000000001,1111.12,148290.80000000002,44906.4,1307.6,11536.800000000001,3586.6400000000003,23549.679999999997,27734.699999999997,1279.08,14823.15,208736.69999999998,1169.0,55772.74999999999,715.88,12932.92,3784.5,41249.34,1308.2400000000002,17677.800000000003,884875.92
2019-06-04,13836.48,25465.510000000002,23835.0,21830.399999999998,9432.0,14903.61,13191.5,1493.0099999999998,42050.12,85953.59999999999,1736.75,12166.0,1140.36,148305.57,45365.670000000006,1379.6000000000001,11422.800000000001,3636.92,23958.55,28441.11,1297.08,15063.7,208587.3,1295.0,55135.24999999999,774.4,12918.099999999999,3580.5,41129.82,1380.96,18098.64,888805.3099999998
2019-06-05,13908.0,25115.370000000003,24120.6,22055.04,9455.58,15133.65,13107.500000000002,1530.0,41817.86,86156.64,1753.4,12409.320000000002,1143.8,148320.34,45705.87,1333.6000000000001,11573.279999999999,3561.5,24304.28,28088.61,1269.09,15339.1,208686.9,1294.0,54825.0,786.36,12962.56,3504.0,41719.950000000004,1337.04,17947.44,890265.68
2019-06-06,14034.88,25014.92,24250.8,22078.079999999998,9455.58,15384.990000000002,13128.5,1530.36,42149.659999999996,86359.68,1752.5,12507.279999999999,1178.2,148335.11000000002,45569.79,1338.8,11746.560000000001,3586.6400000000003,24154.13,27853.14,1291.59,15447.900000000001,208562.40000000002,1382.0,54999.25,823.8,12918.099999999999,3435.0,42093.450000000004,1340.28,18275.039999999997,891978.41
2019-06-07,14432.24,25316.269999999997,24462.9,22285.44,8936.82,15570.3,13170.5,1548.09,43034.46,86833.44,1766.0,12796.42,1241.84,148379.41999999998,46136.79,1359.6000000000001,11817.24,3565.69,24420.55,27571.14,1300.32,15640.0,208786.5,1387.0,55475.25,818.0,12863.76,3463.5,41876.82,1303.2,18343.08,895902.5799999998
2019-06-10,14885.04,25342.1,24469.899999999998,22455.36,8960.4,15367.95,13254.5,1542.8700000000001,43377.32,86088.96,1747.9499999999998,12775.88,1269.36,148349.88,46148.13,1397.6,11776.199999999999,3553.1200000000003,23884.63,28049.13,1298.07,15747.95,208587.3,1377.0,54952.50000000001,851.52,12878.58,3429.0,41077.53,1339.92,18423.72,894659.37
2019-06-11,14909.6,25540.129999999997,24160.5,22305.600000000002,8960.4,15431.85,13422.5,1510.29,43167.18,85885.92,1710.35,12895.960000000001,1310.64,148379.41999999998,46431.63,1393.6000000000001,11801.279999999999,3565.69,23073.05,28311.39,1310.67,14943.000000000002,208512.59999999998,1354.0,54986.5,868.4,12883.519999999999,3441.0,41578.02,1355.04,18406.08,893805.81
2019-06-12,14842.56,25095.28,24001.6,22397.76,9361.26,15372.210000000001,13044.500000000002,1513.08,43576.4,86359.68,1717.6499999999999,12682.66,1296.88,148408.96,46839.87,1318.4,11885.640000000001,3582.4500000000003,23389.52,28630.050000000003,1267.47,14890.300000000001,208686.9,1375.0,55028.99999999999,837.04,12918.099999999999,3420.0,41966.46,1278.36,18207.0,895192.0399999999
